Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,,Infuse Pump,Mindray,Benefusion VP5 X,SK 10308913,2021,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Infuse Pump,,,19328898,,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,,False,
,,Infuse Pump,,,19328897,,1,,,Irna Penyakit Dalam,,RUSAK RINGAN,,,False,
,,Infuse Pump,Mindray,Benefusion VP5X,,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Infusion Stand,,,,,19,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Monitor Pasien,Dixion,Stroom 5900-05,50922055173,2023,1,,,Irna Penyakit Dalam,,RUSAK RINGAN,,,False,
,,Monitor Pasien,Dixion,Stroom 5900-05,50922055188,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Monitor Pasien,Dixion,Stroom 5900-05,50922055197,2023,1,,,Irna Penyakit Dalam,,RUSAK RINGAN,,,False,
,,Monitor Pasien,Philips,,DG 671R3911,2020,1,,,Irna Penyakit Dalam,,RUSAK RINGAN,,,False,
,,Monitor Pasien,Inomed,Innocare-T12,Q068A050007,2021,1,,,Irna Penyakit Dalam,,RUSAK RINGAN,,,False,
,,Monitor Pasien,Inomed,Innocare-T12,Q068A050009,2021,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Nebulizer,Philips,Inospire Elegance,Ref 1095067,2015,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Nebulizer,Omron,NE-C900,20180201067,2018,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Nebulizer,Omron,NE-417-C3,20121100053 AF,2013,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Oxigen Concentrator,Yuwell,9F5AW,200501092,2020,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Oxigen Concentrator,Krober,Krober 02,1013055928,2013,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Oxigen Concentrator,Krober,Krober 02,1021051798,2013,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Oxygen Portable,,,,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Paramount Bedside Cabinet,,,,,19,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Pulse Oximeter,ChoiceMed,MD300C29,201708 749887,2020,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Pulse Oximeter,Mindray,UPM006-10CD,Z1160001382,2021,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Pulse Oximeter,Beurer P60,,89077 ulm,2025,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Regulator Oxygen,,,,,16,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Set GV Lengkap,,,,2025,1,,,Irna Penyakit Dalam,,BAIK,,TIDAK TERDATA,False,Hibah Dian Juni Eka 
,,Stethoscope,GEA,,,,1,,,Irna Penyakit Dalam,,BAIK,,TIDAK TERDATA,False,Hibah Dian Juni Eka 
,,Stethoscope,,,,,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,TIDAK TERDATA,False,"Hibah dr. Dhinar,Sp.PD"
,,Suction,Sani,SN703A-D,SANM 094-23-008,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Suction,Sani,SN703A-D,SANM 094-23-007,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Suction Portable,General Care,Phlegm Suction 7E-A,20130722482,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Suction Pump,Aspimed 3.3,Moretty,1621,2013,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230075,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230070,2023,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196637,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196632,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196958,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196639,,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Tempat tidur Pasien,,,,,16,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Tensi Meter,Regal,Clock Aneroid,20005180,2020,1,,,Irna Penyakit Dalam,,BAIK,,,False,
,,Tensi Meter,,DM-500,151006059,2018,1,,,Irna Penyakit Dalam,,RUSAK BERAT,,,False,
